CBSA,CITY,STATE,CITYSTATE,NETMIG2020,NETMIG2021,TOTALNETMIG,2020rank,2020census,2010census,Change,2020 land area,2020 population density,Location,Unemployment Rate (August 2021),Change in Unemployment (August 2021 vs August 2019),Change in Unemployment (August 2021 vs January 2020),Change in Unemployment (August 2021 vs August 2020),Adjusted Unemployment Rate* (August 2021),Effective Real-Estate Tax Rate,Annual Taxes on $217.5K Home*,State Median Home Value,Annual Taxes on Home Priced at State Median Value,ZHVI,ZORI,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag
21780,Evansville,IN,"Evansville, IN",148,638,786,245,"117,298","117,429",−0.11%,47.4 sq mi,"2,475/sq mi",37°59′N 87°32′W﻿ / ﻿37.98°N 87.53°W﻿ / 37.98; -87.53﻿ (Evansville),NA,NA,NA,NA,NA,0.85%,"$1,853","$141,700","$1,207",184239,NA,156,200,-9,18,38.461538,27.424749163879596,49.49832775919732,57.5,-0.02542372881355936,-1.5,-0.1901408450704225,-13.5,10.5,0.26172802752317414,0.11748745525907787,0.9931,202450,0.04896373056994818,0.21774436090225557,0.5159,0
39740,Reading,PA,"Reading, PA",-91,876,785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58%,"$3,442","$180,200","$2,852",250864,NA,128,63,5,65,70.735786,54.515050167224075,86.95652173913044,43.5,-0.17924528301886788,-9.5,-0.36496350364963503,-25,-3.5,0.2442594768603421,0.01042030968613549,1.5087,237000,0.03088299260548055,-0.13011561754450365,0.6039,1
22020,Fargo,ND,"Fargo, ND",-19,800,781,224,"125,990","105,549",+19.37%,49.8 sq mi,"2,530/sq mi",46°52′N 96°49′W﻿ / ﻿46.86°N 96.82°W﻿ / 46.86; -96.82﻿ (Fargo),2.30%,28.45%,-7.25%,-52.02%,2.43%,0.98%,"$2,138","$193,900","$1,906",266386,NA,184,290,8,-75,13.210702,20.735785953177256,5.68561872909699,64,-0.19999999999999996,-16,0.24271844660194164,12.5,17,0.09277075098814214,-0.04762367914859988,0.4459,349450,0.0173216885007279,0.18497795863004415,0.8904,1
31420,Macon,GA,"Macon, GA",-12,786,774,164,"157,346","91,351",+72.24%,249.4 sq mi,631/sq mi,32°48′N 83°41′W﻿ / ﻿32.80°N 83.69°W﻿ / 32.80; -83.69﻿ (Macon),NA,NA,NA,NA,NA,0.92%,"$2,006","$176,000","$1,623",145195,NA,199,168,18,33,46.488294,75.91973244147158,17.05685618729097,34.5,-0.32352941176470584,-16.5,-0.3611111111111112,-19.5,-12.5,0.10353256135146328,-0.09363015314484836,0.6366,174950,-0.12041226747109102,-0.01152607491948698,0.4458,0
16180,Carson City,NV,"Carson City, NV",117,654,771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60%,"$1,310","$267,900","$1,614",494250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30300,Lewiston,ID,"Lewiston, ID",99,660,759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69%,"$1,492","$212,300","$1,456",343389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24340,Grand Rapids,MI,"Grand Rapids, MI",-80,820,740,123,"198,917","188,040",+5.78%,44.8 sq mi,"4,440/sq mi",42°58′N 85°39′W﻿ / ﻿42.96°N 85.65°W﻿ / 42.96; -85.65﻿ (Grand Rapids),5.40%,35.08%,51.78%,-34.48%,5.71%,1.54%,"$3,343","$154,900","$2,381",290632,1411,53,127,17,-13,53.67893,52.508361204013376,54.84949832775919,44,-0.2413793103448276,-14,-0.06382978723404253,-3,-3,0.10921917047919873,0.13131818530928707,1.0391,349900,0.03215339233038339,0.09377930603313532,0.8916,0
40220,Roanoke,VA,"Roanoke, VA",115,622,737,326,"100,011","97,032",+3.07%,42.5 sq mi,"2,353/sq mi",37°16′N 79°56′W﻿ / ﻿37.27°N 79.93°W﻿ / 37.27; -79.93﻿ (Roanoke),NA,NA,NA,NA,NA,0.82%,"$1,779","$273,100","$2,234",234232,NA,151,166,5,2,46.822742,11.705685618729095,81.93979933110369,71.5,-0.03378378378378377,-2.5,0.00704225352112675,0.5,24.5,0.196320062849346,0.183655551108878,1.4181,318975,0.0632854428480949,0.1391964285714287,0.8128,0
27500,Janesville,WI,"Janesville, WI",-36,764,728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85%,"$4,027","$180,600","$3,344",196620,NA,255,114,-3,-96,57.35786,23.745819397993312,90.96989966555184,60,-0.0625,-4,0.3953488372093024,17,13,0.1963241752476721,-0.288719864652784,1.6458,283635,0.13499399759903952,0.26116051578479316,0.7227,1
31900,Mansfield,OH,"Mansfield, OH",22,705,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56%,"$3,390","$145,700","$2,271",156383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23900,Gettysburg,PA,"Gettysburg, PA",38,688,726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58%,"$3,442","$180,200","$2,852",265417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24580,Green Bay,WI,"Green Bay, WI",-17,715,698,294,"107,395","104,057",+3.21%,45.5 sq mi,"2,360/sq mi",44°31′N 87°59′W﻿ / ﻿44.52°N 87.98°W﻿ / 44.52; -87.98﻿ (Green Bay),NA,NA,NA,NA,NA,1.85%,"$4,027","$180,600","$3,344",237218,NA,157,181,-44,-78,43.812709,10.367892976588628,77.25752508361204,73.5,0.0652173913043479,4.5,0.01379310344827589,1,26.5,0.04690696870359989,-0.3564751352869171,1.3301,345900,0.03284562555986858,0.18296853625170997,0.8814,0
